DATE,vix,nfci,stlfsi
2000-01-03,24.21,,
2000-01-04,27.01,,
2000-01-05,26.41,,
2000-01-06,25.73,,
2000-01-07,21.72,-0.181,-0.0067
2000-01-10,21.71,,
2000-01-11,22.5,,
2000-01-12,22.84,,
2000-01-13,21.71,,
2000-01-14,19.66,-0.192,-0.0413
2000-01-18,21.5,,
2000-01-19,21.72,,
2000-01-20,21.75,,
2000-01-21,20.82,-0.202,0.0117
2000-01-24,24.07,,
2000-01-25,23.02,,
2000-01-26,23.03,,
2000-01-27,23.54,,
2000-01-28,26.14,-0.21,0.0774
2000-01-31,24.95,,
2000-02-01,23.45,,
2000-02-02,23.12,,
2000-02-03,22.01,,
2000-02-04,21.54,-0.212,-0.051
2000-02-07,22.79,,
2000-02-08,21.25,,
2000-02-09,22.9,,
2000-02-10,23.07,,
2000-02-11,24.42,-0.209,0.1015
2000-02-14,24.38,,
2000-02-15,22.92,,
2000-02-16,23.51,,
2000-02-17,23.17,,
2000-02-18,26.0,-0.201,0.1662
2000-02-22,25.86,,
2000-02-23,23.89,,
2000-02-24,24.38,,
2000-02-25,25.2,-0.189,0.2701
2000-02-28,24.68,,
2000-02-29,23.37,,
2000-03-01,21.64,,
2000-03-02,21.06,,
2000-03-03,19.21,-0.172,-0.0075
2000-03-06,21.5,,
2000-03-07,24.31,,
2000-03-08,23.82,,
2000-03-09,22.21,,
2000-03-10,21.24,-0.152,0.0594
2000-03-13,22.85,,
2000-03-14,24.41,,
2000-03-15,22.34,,
2000-03-16,20.77,,
2000-03-17,22.37,-0.13,0.0121
2000-03-20,22.96,,
2000-03-21,21.7,,
2000-03-22,21.49,,
2000-03-23,22.26,,
2000-03-24,23.31,-0.108,-0.1309
2000-03-27,24.53,,
2000-03-28,24.86,,
2000-03-29,24.1,,
2000-03-30,25.47,,
2000-03-31,24.11,-0.087,0.2292
2000-04-03,24.03,,
2000-04-04,27.12,,
2000-04-05,28.41,,
2000-04-06,27.15,,
2000-04-07,24.39,-0.072,0.4557
2000-04-10,25.99,,
2000-04-11,27.25,,
2000-04-12,28.98,,
2000-04-13,29.4,,
2000-04-14,33.49,-0.058,0.4735
2000-04-17,28.95,,
2000-04-18,26.12,,
2000-04-19,27.02,,
2000-04-20,25.85,,
2000-04-21,,-0.045,0.4333
2000-04-24,27.37,,
2000-04-25,25.24,,
2000-04-26,26.97,,
2000-04-27,26.19,,
2000-04-28,26.2,-0.031,0.3003
2000-05-01,25.88,,
2000-05-02,28.5,,
2000-05-03,31.63,,
2000-05-04,30.77,,
2000-05-05,27.53,-0.016,0.4663
2000-05-08,28.2,,
2000-05-09,28.93,,
2000-05-10,29.87,,
2000-05-11,27.76,,
2000-05-12,26.05,-0.001,0.4933
2000-05-15,24.86,,
2000-05-16,24.34,,
2000-05-17,23.98,,
2000-05-18,23.96,,
2000-05-19,25.44,0.013,0.2514
2000-05-22,26.0,,
2000-05-23,25.87,,
2000-05-24,24.32,,
2000-05-25,24.58,,
