date,nfci
2000-01-07,-0.181
2000-01-14,-0.192
2000-01-21,-0.202
2000-01-28,-0.21
2000-02-04,-0.212
2000-02-11,-0.209
2000-02-18,-0.201
2000-02-25,-0.189
2000-03-03,-0.172
2000-03-10,-0.152
2000-03-17,-0.13
2000-03-24,-0.108
2000-03-31,-0.087
2000-04-07,-0.072
2000-04-14,-0.058
2000-04-21,-0.045
2000-04-28,-0.031
2000-05-05,-0.016
2000-05-12,-0.001
2000-05-19,0.013
2000-05-26,0.025
2000-06-02,0.032
2000-06-09,0.033
2000-06-16,0.029
2000-06-23,0.017
2000-06-30,-0.001
2000-07-07,-0.025
2000-07-14,-0.054
2000-07-21,-0.085
2000-07-28,-0.115
2000-08-04,-0.143
2000-08-11,-0.167
2000-08-18,-0.185
2000-08-25,-0.197
2000-09-01,-0.204
2000-09-08,-0.207
2000-09-15,-0.205
2000-09-22,-0.201
2000-09-29,-0.196
2000-10-06,-0.189
2000-10-13,-0.181
2000-10-20,-0.174
2000-10-27,-0.167
2000-11-03,-0.157
2000-11-10,-0.143
2000-11-17,-0.125
2000-11-24,-0.105
2000-12-01,-0.085
2000-12-08,-0.07
2000-12-15,-0.064
2000-12-22,-0.069
2000-12-29,-0.089
2001-01-05,-0.118
2001-01-12,-0.153
2001-01-19,-0.19
2001-01-26,-0.223
2001-02-02,-0.249
2001-02-09,-0.268
2001-02-16,-0.277
2001-02-23,-0.276
2001-03-02,-0.27
2001-03-09,-0.261
2001-03-16,-0.252
2001-03-23,-0.248
2001-03-30,-0.252
2001-04-06,-0.261
2001-04-13,-0.281
2001-04-20,-0.305
2001-04-27,-0.332
2001-05-04,-0.359
2001-05-11,-0.385
2001-05-18,-0.404
2001-05-25,-0.42
2001-06-01,-0.431
2001-06-08,-0.439
2001-06-15,-0.445
2001-06-22,-0.45
2001-06-29,-0.457
2001-07-06,-0.466
2001-07-13,-0.477
2001-07-20,-0.487
2001-07-27,-0.496
2001-08-03,-0.501
2001-08-10,-0.496
2001-08-17,-0.483
2001-08-24,-0.459
2001-08-31,-0.428
2001-09-07,-0.395
2001-09-14,-0.364
2001-09-21,-0.342
2001-09-28,-0.335
2001-10-05,-0.337
2001-10-12,-0.348
2001-10-19,-0.363
2001-10-26,-0.379
2001-11-02,-0.391
2001-11-09,-0.396
2001-11-16,-0.394
2001-11-23,-0.384
2001-11-30,-0.371
2001-12-07,-0.358
2001-12-14,-0.352
2001-12-21,-0.354
2001-12-28,-0.367
2002-01-04,-0.387
2002-01-11,-0.412
2002-01-18,-0.437
2002-01-25,-0.459
2002-02-01,-0.474
2002-02-08,-0.484
2002-02-15,-0.488
2002-02-22,-0.489
2002-03-01,-0.488
2002-03-08,-0.487
2002-03-15,-0.487
2002-03-22,-0.491
2002-03-29,-0.5
2002-04-05,-0.513
2002-04-12,-0.532
2002-04-19,-0.554
2002-04-26,-0.577
2002-05-03,-0.599
2002-05-10,-0.615
2002-05-17,-0.626
2002-05-24,-0.628
2002-05-31,-0.621
2002-06-07,-0.607
2002-06-14,-0.587
2002-06-21,-0.562
2002-06-28,-0.535
2002-07-05,-0.507
2002-07-12,-0.48
2002-07-19,-0.457
2002-07-26,-0.436
2002-08-02,-0.422
2002-08-09,-0.411
2002-08-16,-0.403
2002-08-23,-0.395
2002-08-30,-0.386
2002-09-06,-0.376
2002-09-13,-0.366
2002-09-20,-0.356
2002-09-27,-0.351
2002-10-04,-0.35
2002-10-11,-0.356
2002-10-18,-0.368
2002-10-25,-0.383
2002-11-01,-0.401
2002-11-08,-0.419
2002-11-15,-0.434
2002-11-22,-0.444
2002-11-29,-0.451
2002-12-06,-0.454
2002-12-13,-0.457
2002-12-20,-0.461
2002-12-27,-0.468
2003-01-03,-0.479
2003-01-10,-0.492
2003-01-17,-0.504
2003-01-24,-0.514
2003-01-31,-0.521
2003-02-07,-0.525
2003-02-14,-0.528
2003-02-21,-0.53
2003-02-28,-0.535
2003-03-07,-0.541
2003-03-14,-0.551
2003-03-21,-0.566
2003-03-28,-0.585
2003-04-04,-0.609
2003-04-11,-0.634
2003-04-18,-0.658
2003-04-25,-0.68
2003-05-02,-0.696
