asset,level,n_episodes,FZ_aug,FZ_base,delta,DM_p
sp500,95.0,1204,2.9929,-1.5294,4.5223,0.0
sp500,97.5,485,5.4002,-1.6056,7.0058,0.002
sp500,99.0,149,20.0327,0.9373,19.0954,0.186
nasdaq,95.0,1099,1.0138,-2.0429,3.0567,0.0
nasdaq,97.5,586,9.1999,-1.3976,10.5975,0.0
nasdaq,99.0,141,26.3768,1.325,25.0517,0.06
tlt_bonds,95.0,1553,0.8232,-3.0321,3.8553,0.0
tlt_bonds,97.5,838,1.9868,-2.7627,4.7495,0.0
tlt_bonds,99.0,277,8.3852,1.4926,6.8927,0.276
eurusd,95.0,1415,-1.7169,-4.0113,2.2943,0.0
eurusd,97.5,548,1.8046,-4.2723,6.0769,0.0
eurusd,99.0,145,6.3262,-2.0905,8.4167,0.073
usdjpy,95.0,1521,3.707,-3.0587,6.7658,0.0
usdjpy,97.5,698,0.2565,-3.5196,3.776,0.001
usdjpy,99.0,281,0.111,-3.5704,3.6814,0.01
btc,95.0,255,-1.7587,-2.1062,0.3474,0.553
btc,97.5,89,-2.1999,-1.6922,-0.5076,0.043
