asset,level,p,n,base_rate,Brier,AUC,MAE,RMSE
sp500,95.0,0.05,4827,0.3174,0.249,0.5633,0.00652,0.01436
sp500,97.5,0.025,4827,0.1794,0.2092,0.4714,0.00489,0.01256
sp500,99.0,0.01,4827,0.0982,0.1302,0.4047,0.00318,0.01012
nasdaq,95.0,0.05,4827,0.3277,0.2565,0.5626,0.00661,0.01415
nasdaq,97.5,0.025,4827,0.1931,0.182,0.5191,0.0047,0.0128
nasdaq,99.0,0.01,4827,0.1017,0.1139,0.4225,0.00306,0.00977
tlt_bonds,95.0,0.05,4183,0.3713,0.2267,0.6721,0.00304,0.00637
tlt_bonds,97.5,0.025,4183,0.2003,0.1621,0.6637,0.00206,0.0057
tlt_bonds,99.0,0.01,4183,0.0932,0.094,0.6439,0.00134,0.0052
eurusd,95.0,0.05,4802,0.3372,0.2412,0.5967,0.00196,0.00336
eurusd,97.5,0.025,4802,0.1855,0.1756,0.6008,0.00117,0.00239
eurusd,99.0,0.01,4802,0.0902,0.0961,0.4667,0.00055,0.00153
usdjpy,95.0,0.05,4802,0.3719,0.2575,0.5993,0.00392,0.0072
usdjpy,97.5,0.025,4802,0.2022,0.1864,0.5808,0.00296,0.00591
usdjpy,99.0,0.01,4802,0.1185,0.1317,0.4731,0.00205,0.00504
btc,95.0,0.05,2496,0.2508,0.3077,0.3765,0.02858,0.04827
btc,97.5,0.025,2496,0.1298,0.1906,0.4273,0.0192,0.03858
btc,99.0,0.01,2496,0.0541,0.1314,0.4029,0.00937,0.02754
