H,level,mean_AUC,incr_delta,ci_low,ci_high,DM_p
5,95.0,0.56,0.000222,2.4e-05,0.000421,0.0
5,97.5,0.548,3.9e-05,-0.000135,0.000209,0.444
5,99.0,0.485,-1.5e-05,-0.000166,0.000129,0.73
10,95.0,0.562,0.001231,0.000729,0.00179,0.0
10,97.5,0.544,0.000722,0.000339,0.001141,0.0
10,99.0,0.469,0.00017,-7.6e-05,0.000409,0.077
20,95.0,0.56,0.002262,0.001505,0.003179,0.0
20,97.5,0.516,0.001615,0.001017,0.002281,0.0
20,99.0,0.456,0.00116,0.000673,0.001688,0.0
60,95.0,0.565,0.00214,0.001403,0.002904,0.0
60,97.5,0.5,0.002205,0.001474,0.003007,0.0
60,99.0,0.439,0.001928,0.001272,0.002625,0.0
