asset,level,beta,n_episodes,FZ_aug,FZ_base,delta,DM_p
sp500,95.0,0.95,1204,-1.1769,-2.3553,1.1784,0.005
sp500,97.5,0.95,581,-0.8102,-0.8465,0.0362,0.965
sp500,99.0,0.95,278,2.7783,-0.4927,3.271,0.339
nasdaq,95.0,0.95,1298,-1.6943,-2.3528,0.6584,0.013
nasdaq,97.5,0.95,692,0.1079,-1.782,1.8899,0.026
nasdaq,99.0,0.95,321,0.6224,1.3213,-0.6988,0.646
tlt_bonds,95.0,0.95,1839,-1.6818,-2.3362,0.6545,0.006
tlt_bonds,97.5,0.95,838,-2.2052,-2.6604,0.4551,0.224
tlt_bonds,99.0,0.95,390,-0.9827,-1.2962,0.3134,0.597
eurusd,95.0,0.95,1415,-3.9851,-4.0833,0.0982,0.514
eurusd,97.5,0.95,755,-4.1564,-4.0344,-0.122,0.5
eurusd,99.0,0.95,287,-4.1694,-2.9363,-1.2331,0.1
usdjpy,95.0,0.95,1786,-2.7158,0.472,-3.1878,0.011
usdjpy,97.5,0.95,786,-2.8327,-3.4537,0.621,0.102
usdjpy,99.0,0.95,443,-3.5785,-3.8482,0.2698,0.261
btc,95.0,0.95,626,-0.0828,-0.9714,0.8886,0.219
btc,97.5,0.95,324,1.2249,1.2578,-0.0329,0.851
btc,99.0,0.95,38,-1.2427,-0.1541,-1.0886,0.372
