asset,level,beta,n,cover_aug,cover_base,pinball_aug,pinball_base,delta,DM_p
sp500,95.0,0.95,4827,0.842,0.88,0.00288,0.00272,0.00016,0.017
sp500,97.5,0.95,4827,0.879,0.893,0.00229,0.00232,-3e-05,0.54
sp500,99.0,0.95,4827,0.929,0.93,0.00148,0.00158,-0.0001,0.004
nasdaq,95.0,0.95,4827,0.849,0.858,0.00282,0.00278,4e-05,0.506
nasdaq,97.5,0.95,4827,0.871,0.889,0.00216,0.00215,1e-05,0.837
nasdaq,99.0,0.95,4827,0.92,0.929,0.00142,0.00147,-6e-05,0.23
tlt_bonds,95.0,0.95,4183,0.917,0.958,0.00089,0.00091,-3e-05,0.653
tlt_bonds,97.5,0.95,4183,0.899,0.962,0.00076,0.00081,-4e-05,0.329
tlt_bonds,99.0,0.95,4183,0.935,0.964,0.00061,0.00062,-1e-05,0.822
eurusd,95.0,0.95,4802,0.903,0.896,0.00053,0.00064,-0.00011,0.001
eurusd,97.5,0.95,4802,0.902,0.912,0.00046,0.00049,-3e-05,0.056
eurusd,99.0,0.95,4802,0.919,0.931,0.00026,0.00027,-1e-05,0.291
usdjpy,95.0,0.95,4802,0.878,0.888,0.00126,0.00119,7e-05,0.182
usdjpy,97.5,0.95,4802,0.889,0.904,0.00102,0.00103,-0.0,0.929
usdjpy,99.0,0.95,4802,0.901,0.924,0.00074,0.0008,-7e-05,0.116
btc,95.0,0.95,2496,0.916,0.937,0.00618,0.00536,0.00082,0.008
btc,97.5,0.95,2496,0.93,0.941,0.00479,0.00446,0.00033,0.078
btc,99.0,0.95,2496,0.949,0.952,0.00311,0.00296,0.00015,0.084
